lon,lat,degree,mesh_code_2d
143.9375,43.2917,8°50′,644377
143.8125,43.2917,9° 0′,644376
143.6875,43.2917,9°10′,644375
143.5625,43.2917,9°20′,644374
143.4375,43.2917,9°30′,644373
143.3125,43.2917,9°30′,644372
143.1875,43.2917,9°30′,644371
143.0625,43.2917,9°30′,644370
143.9375,43.2083,8°50′,644367
143.8125,43.2083,8°50′,644366
143.6875,43.2083,9° 0′,644365
143.5625,43.2083,9°10′,644364
143.4375,43.2083,9°20′,644363
143.3125,43.2083,9°20′,644362
143.1875,43.2083,9°20′,644361
143.0625,43.2083,9°30′,644360
143.9375,43.125,8°50′,644357
143.8125,43.125,8°40′,644356
143.6875,43.125,8°40′,644355
143.5625,43.125,9° 0′,644354
143.4375,43.125,9°10′,644353
143.3125,43.125,9°10′,644352
143.1875,43.125,9°20′,644351
143.0625,43.125,9°20′,644350
143.9375,43.0417,8°50′,644347
143.8125,43.0417,8°50′,644346
143.6875,43.0417,8°50′,644345
143.5625,43.0417,9° 0′,644344
143.4375,43.0417,9°10′,644343
143.3125,43.0417,9°10′,644342
143.1875,43.0417,9°10′,644341
143.0625,43.0417,9°20′,644340
143.9375,42.9583,9° 0′,644337
143.8125,42.9583,9° 0′,644336
143.6875,42.9583,9° 0′,644335
143.5625,42.9583,9° 0′,644334
143.4375,42.9583,9°10′,644333
143.3125,42.9583,9°10′,644332
143.1875,42.9583,9°10′,644331
143.0625,42.9583,9°20′,644330
143.9375,42.875,9° 0′,644327
143.8125,42.875,9°10′,644326
143.6875,42.875,9° 0′,644325
143.5625,42.875,8°50′,644324
143.4375,42.875,9° 0′,644323
143.3125,42.875,9°10′,644322
143.1875,42.875,9°10′,644321
143.0625,42.875,9°20′,644320
143.8125,42.7917,9°10′,644316
143.6875,42.7917,8°50′,644315
143.5625,42.7917,8°30′,644314
143.4375,42.7917,8°40′,644313
143.3125,42.7917,9° 0′,644312
143.1875,42.7917,9°10′,644311
143.0625,42.7917,9°20′,644310
143.6875,42.7083,8°40′,644305
143.5625,42.7083,8°30′,644304
143.4375,42.7083,8°50′,644303
143.3125,42.7083,9° 0′,644302
143.1875,42.7083,9°10′,644301
143.0625,42.7083,9°20′,644300
142.9375,43.2917,9°40′,644277
142.8125,43.2917,9°50′,644276
